	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 18:25:13 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          131072     128  1554845  4016545 10312470  5514830 10196183  4414262 10975841   7200204  11086288  4647454  3592193 11181669 11147659
          131072     256  1586021  5755592 10748795  5867391 10704008  4218189 10729495   6034057  10745434  4534898  3497022 10871871 10733056
          131072     512  1569216  5460437 10836725  5950265 10821580  4041466 11030235   5839718  10883709  4498606  3418224 11137948 10921764
          131072    1024  1562557  5497293 10985711  5913717 10987687  4166464 11171218   5849598  11096582  4314828  3396976 10390237 10358131
          131072    2048  1578420  5489005 10907246  5980885 10990323  4132545 15057345   8980031  14993283  4939369  3454893 15109073 14953724
          131072    4096  1785113  5450206 10707553  5996542 10925454  4222693 11036656   5733443  11057968  4581038  3483462 11087182 11049744
          131072    8192  1532861  5374230 10428275  6088993 10913742  4267634 10965770   5714431  10895357  4163277  3312085 10915475 11045970
          131072   16384  1570247  5053283  8483125  5702517  9257828  4494156  9147989   4918467   9110544  4758274  3516438  8967727  9140232
          262144      64  1509020  2906225 10263262  6221990 13464703  2920793  9609787   9525947  14778619  2948647  2800684 14872573 14853888
          262144     128  1569677  2917344 14352287  9479381 15114433  3519475 13605155  14610711  15318480  2803376  2900115 11091299 11132851
          262144     256  1572748  2847193 10520655  6052319 13516679  3443681 14334138   9698623  15043296  2725984  2175920 10897711 10949587
          262144     512  1586395  2894702 10632052  6070531 12871707  2991658 14760366   8986770  14786171  2754019  2202093 10778066 10874216
          262144    1024  1570758  2814787 10849857  6147543 14640867  2711296 10994148   7029864  14766115  2627350  2068688 10907225 11177896
          262144    2048  1560465  2196559 13559351  9363936 14596745  2901102 10962360   6927898  14712176  2694823  2617381 14716508 14858304
          262144    4096  1526622  2782398 14772662  6768482 14902205  2501255 14999379   7460192  15004701  2754509  2560351 15007978 15097829
          262144    8192  1549937  2766576 14091460  9417835 14486356  3299232 10838627   6819911  14455312  2490418  2407973 10891774 10905494
          262144   16384  1555963  2718005 11401014  7208692 11694468  2801576 11619329   6749494  11451837  2642765  2101710 11711159 11864959
          524288      64  1527787  2038324 13896601  9609569 14445987  2003155 10016968  14292382  14613896  2222661  2069248 14630230 14699863
          524288     128  1485823  2243462 14039084  9480640 15068738  1932337 13984711  14273365  15417049  1962728  1974518 14529313 14748765
          524288     256  1563555  2146354  9998204  8425124 14394829  2302105 12722014   9912975  14942081  2149486  2003149 14273735 14391249
          524288     512  1605743  2135376 10641972  8480751 14830527  2077186 14672694   9078701  14931023  2067225  1901343 14386071 14580564
          524288    1024  1556674  2029276 10873775  8313987 14993837  3104369 14368023   8682566  14836831  2271000  2004173 10680998 12785628
          524288    2048  1475616  1951521 14593530  9555993 14864913  2347330 14700748   9008410  14878894  2245478  1908000 10615925 13117704
          524288    4096  1604761  2294394 14568393  9500218 14843140  2328233 10673170   8882760  14522021  2743597  2419484 10905646 13057184
          524288    8192  1534333  1998825 10369630  8547238 14698291  1970666 14677297   8818392  14768277  1957577  1712016 10825011 12132889
          524288   16384  1554934  1979288  8928781  8204306 11668208  1881334  9277490   7075414  11659114  2031415  2467178  9224717 11014236

iozone test complete.
