	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:44:25 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
          262144     256  1550586  3904740 13671129  9517949 14345920  3872204 14034084   9504866  14880222  4038257  3984924 14284045 14671147
          262144     512  1592969  4331534 14178318  9766942 14781202  4099522 14336568   8761760  14687609  3848889  4029643 13923013 14387783
          262144    1024  1575347  3790781 13918607  9661466 14490365  3765311 14224541   8882874  14468627  3632721  3792258 14273290 14818853
          262144    2048  1631720  3705367 13675550  9618194 14488837  3854097 14253861   8979651  14658043  3608815  3626228 14196808 14705682
          262144    4096  1629003  3856422 13667561  9588668 14313984  4247370 13946855   8758829  14352100  3862790  4011999 13854592 14360910
          262144    8192  1598137  3763197 13766643  9435049 13962441  4298647 13587502   8537787  13660429  3415154  3583948 13716837 14294259
          262144   16384  1575640  3568281 10706802  8200182 11108331  3533273 10939999   6673056  10686199  3721836  3563146 10815811 10936735
          524288      64  1543767  3399762 13330176  9804164 14010104  3379926 13402728  14432429  14254767  3700297  3321326 14086929 14778997
          524288     128  1684346  4362268 14264754  9853764 14684354  4411043 13831656  12883683  14796997  4123737  3963319 14137918 14601282
          524288     256  1532481  4039820 14353393  9694681 14850658  4462287 14158126   9137286  14498371  3784627  3624655 12989927 15084449
          524288     512  1523265  3826918 13714425  9540156 14211469  4080314 14413416   8900556  14358923  3414331  3623950 14066114 14380614
          524288    1024  1585608  3610521 13787947  9600214 14410676  3440146 13906092   8772939  14388895  3807187  3508043 13836704 14338886
          524288    2048  1611112  4273559 13978755  9564347 14322450  3804144 14140918   8851581  14370371  4137571  4336076 14342908 14691712
          524288    4096  1529785  3357119 13664741  9602520 14306051  3443485 13840100   8964196  14330663  3409561  3099657 13777840 14203667
          524288    8192  1556377  3519327 11469865  9505187 14064674  3841948 14183421   8743950  14251996  3607571  3794076 14077910 14229954
          524288   16384  1523247  3856448 10673377  8070319 10981729  3469394 11143446   6831114  11181750  3328455  3367555 10938139 11323917

iozone test complete.
